timestamp,delta,hiAlpha,hiBeta,loAlpha,loBeta,loGamma,midGamma,theta
1476251349,1572864,65536,65536,65536,65536,131072,196608,65536
1476251350,1572864,0,0,0,0,0,0,1048576
1476251351,1572864,262144,262144,524288,327680,393216,262144,1441792
1476251352,1572864,0,655360,655360,393216,851968,524288,3670016
1476251353,1572868,3342336,0,15663105,0,0,0,6094848
1476251354,1572871,14155780,9109516,4587526,1310733,10420234,5373970,720902
1476251355,1573502,9371760,131103,14680089,5832741,11730950,4128777,4260253
1476251356,1573046,13697028,0,5111813,786432,0,0,14680086
1476251357,1572917,9109510,15073281,6488065,13762571,11927552,11010048,5505060
1476251358,1573866,12189716,11927559,12517380,12189708,4587526,1048580,8126591
1476251359,1576486,15925697,4390943,5767300,7798843,0,0,655422
1476251360,1573747,15204367,5111814,15335470,4587537,4718593,15138820,14811215
1476251361,1573497,11665440,15597571,11337760,589844,5767171,5570562,12451956
1476251362,1574231,12189714,6750219,14352400,12189700,14811141,10485760,14811385
1476251363,1574845,13697043,15466502,12976153,7995427,1638405,8650758,12976223
1476251365,1576447,4259948,1900572,12124393,9240629,10158110,15269906,11469065
1476251366,1581911,15925335,12648466,15532065,4653076,14286862,851977,16515353
1476251367,1579008,0,0,0,0,0,0,0
1476251368,1583233,15794277,13893666,6881342,3145808,16711689,13107219,3998295
1476251369,1578953,10354715,1507345,7077985,4194422,16449560,11010063,6226233
1476251370,1580577,0,0,0,0,0,0,10355552
1476251371,1574413,7274497,5373957,8912913,11468834,327684,2949124,8978659
1476251372,1575556,9240596,327687,6750238,9699345,5570568,16449542,9306208
1476251373,1576708,7798784,0,15401012,0,0,0,10355111
1476251374,1574710,11600204,4390994,721663,1245310,6815804,6094891,331849
1476251375,1575488,4128787,9109509,4325409,10092556,1572868,10027009,13041703
1476251376,1585406,6750405,0,13828308,1769472,0,0,13832056
1476251377,1573878,6291462,1245189,14745613,6225929,1048579,11993089,9306458
1476251378,1577121,5243071,4259867,1048673,2490390,15794210,12845071,11600345
1476251379,1576209,14942268,10027030,11665489,13107249,0,0,4326513
1476251380,1573708,393245,3997706,7471113,4456465,2883595,5832708,13107263
1476251381,1575645,4456521,7012377,3932277,65635,16711687,2097158,2228810
1476251382,1576385,12648535,262162,99,13566008,3407908,14221312,1508896
1476251383,1578396,5898315,6488082,16515101,9502768,11599881,8126478,9765177
1476251385,1577319,14286888,4915216,5373981,6422632,6422546,9109517,14811620
1476251386,1573270,13107249,12910598,1835047,458760,5242885,14680067,1376354
1476251387,1576192,0,0,0,0,0,0,0
1476251388,1574336,15401124,16384030,3277074,9699439,13893648,2097155,13829172
1476251389,1577196,11599880,6029318,1638409,16187422,15335428,12124161,6029425
1476251390,1573696,0,0,0,0,0,0,11010075
1476251391,1577384,8585262,12910601,15073384,9437301,14483478,9306127,10289757
1476251392,1574764,458850,720921,2556100,13959192,14680075,15269904,11993838
1476251393,1576418,3080192,0,1507373,0,0,0,13567376
1476251394,1575941,11731011,14549004,917600,15466540,13434891,13631495,10093026
1476251395,1578845,2490506,1179668,11862048,11862046,10420239,8388618,11141852
1476251396,1572967,12386308,0,15400962,3145728,0,0,6225959
1476251397,1574189,13565971,3801094,2949122,8192027,2555908,917507,16187452
1476251398,1577513,15007848,16056333,6422567,15204388,7077915,1245194,16056726
1476251399,1581130,14811435,10748015,3276940,15532152,0,0,6884266
1476251400,1576965,2949295,13959185,8913009,7012386,6946841,1245195,10749178
1476251401,1573150,262158,16384005,720910,4784140,11272195,15073283,8978755
1476251402,1575908,16711732,3473428,3539101,2293780,3670041,4194304,5046816
1476251403,1580785,15794467,16711881,3277477,14287063,16646230,8192051,12257904
1476251405,1574198,7274524,3473412,16515108,12451851,10878980,5570561,6029393
1476251406,1576250,9830412,15532068,589859,655387,12189723,14286864,12911246
1476251407,1576960,0,0,0,0,0,0,0
1476251408,1573001,9830405,5177345,7471109,7077890,13565953,6815744,1376349
1476251409,1576016,13500471,12714015,15728671,15269913,1900566,11534357,14091578
1476251410,1577245,0,0,0,0,0,0,5767564
1476251411,1584609,3998376,3866700,14353376,11665856,852093,12189732,14222175
