timestamp,delta,hiAlpha,hiBeta,loAlpha,loBeta,loGamma,midGamma,theta
1476251345,1572864,65536,65536,131072,131072,65536,65536,196608
1476251346,1572864,0,0,0,0,0,0,327680
1476251347,1572864,65536,0,65536,65536,196608,65536,786432
1476251348,1572875,4521984,7208960,14745600,2883584,6553600,3801088,14024704
1476251349,1572951,12845056,0,14352392,0,0,0,4784142
1476251350,1574322,524323,8126474,15073297,7798802,1376268,3145735,6684866
1476251351,1573323,6160410,1572872,8716420,8519692,8454148,11141124,11337776
1476251352,1573255,11730985,0,15859765,9371648,0,0,1638959
1476251353,1576264,10551471,6881318,8061118,4718760,6946833,3670030,16056461
1476251354,1573910,14876679,6946821,14417939,16121865,14417923,14680068,7929890
1476251355,1575287,196693,9109523,11993458,2949231,0,0,13306311
1476251356,1578163,8061056,2949163,1376322,1966102,14549004,5898254,11666130
1476251357,1575656,6619183,11534363,7602195,6750258,13893654,8912910,15008212
1476251358,1574644,15138851,11272200,851994,1310727,8585224,4259840,4456626
1476251359,1575605,7405601,14549005,13893691,7143463,9633797,12845069,6357378
1476251361,1574419,9175113,2555955,15597743,15925265,5242891,7143442,11995216
1476251362,1573758,4390938,15728664,9371665,3801102,11141155,4259848,4194533
1476251363,1572864,0,0,0,0,0,0,0
1476251364,1573576,5177365,3276810,9633846,5701640,786438,262147,7012404
1476251365,1573644,9502746,6160407,10223739,3145751,13893663,3407885,13172921
1476251366,1573957,0,0,0,0,0,0,9306181
1476251367,1573853,1376324,12189714,9175086,3735590,13041684,13893655,16056462
1476251368,1580589,3735597,786451,8126648,5046304,9109523,3866651,12321048
1476251369,1572890,917504,0,9568306,0,0,0,4063261
1476251370,1573966,14745653,262164,3276854,11993128,786452,7274512,10027175
1476251371,1572876,10682382,2162709,14221324,12189712,8454175,10616858,10289173
1476251372,1572868,10944525,0,917518,3604480,0,0,2490376
1476251373,1572871,13107212,6881290,5832714,16318483,9437204,1245200,2228234
1476251374,1574855,10289171,16056347,327717,655372,14417940,15073313,15007900
1476251375,1573438,983055,11862022,9306124,9961480,0,0,4653186
1476251376,1572879,7012375,14024713,10420234,1114138,5439528,15597586,3735574
1476251377,1572868,2359312,12255246,9502745,15138829,14876685,9437203,4849674
1476251378,1576365,15859728,4522017,589878,5898270,5832712,9699328,6422802
1476251379,1572866,4259846,5046296,786436,12124169,458778,2293783,10616846
1476251381,1573855,7864355,4390933,16056367,12255273,983090,2686997,6226035
1476251382,1572900,7340037,16252948,5963792,720927,8388626,10878987,3407888
1476251383,1573632,0,0,0,0,0,0,0
1476251384,1573606,13303857,14614547,7536670,6619167,6619173,7536669,14418060
1476251385,1573699,7798871,9830418,2359330,8060966,10289176,11862035,6226080
1476251386,1573241,0,0,0,0,0,0,3473541
1476251387,1573321,7012367,2359303,9502730,9437190,7798790,15728644,6553643
1476251387,1573893,2293790,9175064,11337731,9633800,2228250,1441802,15335605
1476251388,1573342,6094848,0,6881314,0,0,0,13893772
1476251390,1574763,2949148,9633794,16318498,10027016,15138823,524294,4784182
1476251391,1578174,5701672,1441820,2097428,4325390,6553616,9043977,15663216
1476251391,1574102,11730957,0,10944518,10354688,0,0,14549797
1476251392,1573191,2228232,10551303,2293799,9175059,12058629,14155779,1573077
1476251394,1575563,3014662,10027022,7733317,9633817,4980757,13434901,6226339
1476251394,1572886,8781829,5767190,6422541,11403273,0,0,8650760
1476251396,1573477,1048586,16384004,15859733,13697030,16711686,4128769,5570649
1476251396,1573196,11599899,14942226,16646164,7274503,13500420,16121859,1835213
1476251397,1575483,9568266,11010058,1179675,4784135,8192006,5177344,6946948
1476251398,1572874,2228239,3080209,7471117,9240604,9633816,7733273,15728646
1476251400,1573617,1835036,11993121,15532154,8847376,5242911,393233,13959397
1476251401,1573664,7274517,3604504,16515112,1245242,9109517,6881294,3997830
1476251402,1572864,0,0,0,0,0,0,0
1476251403,1573692,13565983,10616840,852015,7995419,13697051,13172756,7733391
1476251404,1572876,8585233,6684693,5963794,6160408,13959198,524309,8781865
1476251405,1572873,0,0,0,0,0,0,1245210
1476251406,1573607,12845067,14942225,1114144,12976145,3211287,15925254,327821
1476251407,1572880,14549006,3473432,8912900,4849678,4325389,786465,5373960
1476251408,1573947,327680,0,13434993,0,0,0,6357294
1476251409,1573792,3801125,10354722,3735610,10879000,3014735,16318489,13303947
1476251410,1574052,16187431,10682380,3735577,4849675,11534360,1966099,14090555
1476251411,1573968,6619149,0,7340070,8126464,0,0,1376480
1476251412,1573945,11730950,1769503,4128850,4980779,15663128,16187418,9896092
1476251413,1572870,13500418,2687005,9306114,8781832,15728662,786442,4849703
1476251414,1574811,5177389,9830429,3473452,12910606,0,0,197187
1476251415,1573783,12648489,10027077,10813493,1703971,7077915,15597579,11403359
1476251416,1573175,10354691,3473414,7995413,5439496,16121861,9961474,9175139
1476251417,1572883,3407882,15204371,14811150,13434895,12582945,15728640,8388623
1476251418,1572869,5570565,458776,15990806,2883603,5898276,15597592,2555931
1476251420,1572866,11665424,5963795,10485766,14680082,9371669,15007782,12582924
1476251421,1572869,11534369,8978454,1179666,13107223,16318490,12582947,12058645
1476251422,1573632,0,0,0,0,0,0,0
1476251423,1574866,6094902,1376300,5898293,13041686,5963791,917520,1835388
1476251424,1575329,10027023,6553633,7864393,1835023,8060946,15269897,1966356
1476251425,1574078,0,0,0,0,0,0,2949231
1476251426,1572868,4456466,5177361,16187404,7471110,11862039,8978447,14417933
1476251427,1573391,5898254,11599879,15990793,15990789,16711684,1638402,13828180
1476251428,1572882,7143424,0,15335434,0,0,0,9830411
1476251429,1572969,5177368,5505054,7733253,16515088,11796488,12845066,13565993
1476251430,1573639,8519688,5242891,15532054,2883597,7274500,7012355,4718654
1476251431,1573388,2818100,0,2424938,0,0,0,16646656
1476251432,1572869,14090245,5242896,15663114,8192021,10616863,6619150,12845058
1476251433,1574277,9830419,11665443,9830533,11665486,12517406,655377,4653575
1476251434,1573052,720900,9830403,14090252,4653059,0,0,4128879
1476251435,1574067,5570585,12845080,8716326,15138847,1114131,7274514,327876
1476251436,1572910,16,3670047,10289168,10420229,3670024,12517397,4522004
1476251437,1573665,6815759,16711735,15466593,1507365,14483480,393216,4325636
1476251438,1573091,5898254,3932179,10223679,7798790,2752518,15990788,12517896
1476251440,1573563,12320785,7143432,8847412,2949142,15794180,15204355,12845269
1476251441,1573962,5701675,5111814,6226039,11010053,12189699,13500420,9765518
1476251442,1578240,0,0,0,0,0,0,0
1476251443,1580163,14024831,9240623,8257679,6160554,10747931,13041700,394029
1476251444,1574037,13041727,10092554,11993174,5111862,3080196,3014659,3015075
1476251445,1572944,0,0,0,0,0,0,3866673
1476251446,1574277,9568274,2621451,8323204,15532068,1114129,9699334,16253718
1476251447,1574347,1572930,13107267,5964125,262226,11993128,6029358,11798264
1476251448,1573801,1310720,0,14352406,0,0,0,6291642
1476251449,1574050,11010091,9633809,9502794,12320785,10289164,6094854,2883789
1476251450,1573802,7274511,10747910,10813449,9830404,11993091,15400962,14876772
1476251451,1578412,4784174,0,3539024,5505024,0,0,16056422
1476251452,1573263,7208972,9437189,786452,12779536,7733253,4194309,10485843
1476251453,1577163,11599883,16318473,15138846,1900553,8716288,12713984,8913006
1476251454,1578615,16449544,2490372,9895953,5308424,0,0,5963785
1476251455,1573303,6422536,15663108,10879003,8847370,11665409,9764866,6881376
1476251456,1577659,12452008,2621558,15008184,66210,3473560,14025061,5376041
1476251457,1572943,9306201,327697,1638451,11862065,12845058,3276800,13762821
1476251458,1574911,6815759,13959319,12058716,65631,5832734,8716310,3604842
1476251460,1575728,4259904,4980752,4980795,6619164,983050,917507,4194706
1476251461,1573271,2490373,14024705,13893646,5701638,7733249,13238273,655392
1476251462,1577984,0,0,0,0,0,0,0
1476251463,1573411,12124162,4587525,655397,15400963,8257540,3014657,12976167
1476251464,1573031,12189704,16580611,6422532,9961480,15466498,1703937,8978474
1476251465,1573374,0,0,0,0,0,0,10616878
1476251466,1579610,7733587,11337763,16318487,15401055,3145744,8847365,3932886
1476251467,1575516,16187405,14090252,5898277,5242884,5439491,5570566,11993148
1476251468,1573335,262144,0,15532038,0,0,0,9044004
1476251469,1573211,14614533,11862018,7405613,1179652,3211265,2162689,16384032
1476251470,1572983,3211273,13434882,11534349,15007746,6553601,9240576,10747940
1476251471,1573168,10158084,0,5832721,9175040,0,0,3866652
1476251472,1572927,15466535,5439489,9043996,15466505,12910593,10485762,12386357
1476251473,1573008,16121865,15138817,655372,6488065,12713984,9568257,11075626
1476251474,1573257,9961480,2490370,11862019,5832708,0,0,196651
1476251475,1573065,1966084,11075586,5505042,14549012,11403267,4194305,5111831
1476251476,1573250,1507352,9568257,9109506,327684,7405570,6225920,1114168
1476251477,1572975,12058634,8519684,11993123,1507331,4718593,6881280,7733287
1476251478,1572983,12976148,6488069,12124165,15728645,6160385,12910593,10944550
