timestamp,delta,hiAlpha,hiBeta,loAlpha,loBeta,loGamma,midGamma,theta
1476252070,1572864,196608,0,131072,0,0,0,0
1476252071,1573600,0,0,0,0,0,0,16515439
1476252072,1577887,10027087,2687100,3604550,14483592,15859737,7864340,2490734
1476252073,1575787,2359363,5177358,1572888,10616883,3473413,1245186,8257627
1476252074,1576489,12320768,0,655450,0,0,0,1442066
1476252075,1575344,7929910,4784140,9044055,7602209,15269898,8716295,1508163
1476252076,1574832,5242883,13565958,9502729,13238280,1245191,1638401,7536808
1476252077,1574699,13041676,0,16,15400960,0,0,6291632
1476252078,1578224,196630,11730979,5898308,1703974,15859717,3473410,2163148
1476252079,1572869,9633792,5701632,262144,9175040,3145728,851968,7733250
1476252080,1572864,196608,131072,917504,327680,0,0,3866624
1476252081,1585113,6029521,4522039,11993213,7536683,5898255,7143428,7667849
1476252082,1573848,13631493,4915254,3407935,1572896,9830418,15007750,1638646
1476252083,1580831,9109663,12451936,15204435,2228366,7929932,13631488,5767647
1476252084,1583746,6816060,1704554,5636129,9765649,15466725,6357235,13633477
1476252086,1581180,1835424,14353001,15139276,4260021,9371978,3932565,3408127
1476252087,1575648,10682423,8716327,4522037,7077945,7733270,16515081,4194432
1476252088,1574912,0,0,0,0,0,0,0
1476252089,1574490,10223759,3801168,14877236,262250,16580705,1376285,11076504
1476252090,1580045,16318616,7340163,393244,9699683,3211288,7340078,15794683
1476252091,1573411,0,0,0,0,0,0,5767280
1476252092,1576540,524398,12910726,8716357,7929915,10747963,7405765,1049137
1476252093,1576877,3801170,7602216,15859810,5767210,8716300,196610,8519733
1476252094,1572864,65536,0,65536,0,0,0,131072
1476252095,1572864,0,0,0,0,65536,0,0
1476252096,1572865,917504,327680,1114112,131072,589824,196608,4325376
1476252097,1572906,15269888,0,13434881,16252928,0,0,8585218
1476252098,1572870,14680079,15728682,9502730,3473429,4390935,16187397,7864345
1476252099,1574157,13893700,1114347,15270006,11600002,1966249,14614625,10223760
1476252100,1574410,7864374,10944733,16515142,1310806,0,0,16122143
1476252101,1575606,7209031,3473573,1835065,13566017,3801133,16384048,5374312
1476252102,1573113,9502751,3539177,12386354,15859826,4391095,16580650,3997903
1476252103,1578996,2490522,16580907,10813529,3276836,8192125,131072,1704193
1476252104,1572927,2228294,327850,14352407,6947048,10158148,7209008,7405687
1476252106,1577092,13697076,2228321,262159,655456,13434945,16646165,6095335
1476252107,1576340,917597,6160628,8716510,5898517,2883692,10027185,7471563
1476252108,1577472,0,0,0,0,0,0,0
1476252109,1572864,131072,0,0,0,131072,0,0
1476252110,1572864,65536,65536,65536,0,0,65536,65536
1476252111,1572864,0,0,0,0,0,0,3604480
1476252112,1572934,4259844,2228225,7143427,6815745,15794176,13238272,7012357
1476252113,1572928,5439499,3342354,15794177,13565963,65550,14614533,13893657
1476252114,1573079,1376256,0,5373978,0,0,0,1638488
1476252115,1573004,14745600,9895942,6881284,14876675,11927559,14548994,2949145
1476252116,1575556,16711705,6750238,1703954,16384021,262225,14483476,16580808
1476252117,1573100,458851,0,8781898,14876672,0,0,3735697
1476252118,1572975,4980816,5439811,8454185,11730985,16253060,720997,9568409
1476252119,1574286,1572871,16515126,2162700,14811152,1114139,14680073,10944617
1476252120,1573261,13238311,16580627,12058634,458788,0,0,12255282
1476252121,1573116,9240599,12386344,2818077,720938,9043978,7340040,458816
1476252122,1575567,5439600,15859991,6553724,1179712,720965,11468863,10813940
1476252123,1572881,2359379,8978578,16515249,5767217,3276947,1507328,852150
1476252124,1575450,1638436,9568545,655424,7995551,11141205,16056356,6357314
1476252126,1572965,2097275,2621569,10879051,6619204,6357176,12714079,12058700
1476252127,1573889,11796603,11665576,11338005,13697166,7733330,7929939,6816284
1476252127,1580544,0,0,0,0,0,0,0
1476252128,1577898,1245665,10813618,5112175,8192247,9502937,5046326,9176137
1476252129,1578663,15466812,7405872,2163452,13893791,8585381,13959262,3278569
1476252130,1575811,0,0,0,0,0,0,5703032
1476252131,1572864,1441792,393216,4915200,720896,262144,131072,12976128
1476252132,1572864,0,0,65536,0,0,0,0
1476252133,1578503,11796480,0,10158291,0,0,0,4196096
1476252134,1578705,16517317,1575686,5375216,8194857,15007932,10748321,9177469
1476252135,1573407,1245529,13894047,4587843,4653429,13303904,5046318,2490759
1476252136,1580246,6619153,0,9371690,11927552,0,0,10551430
1476252137,1575093,1835197,13893718,9830525,12255538,12320790,1900562,262402
1476252138,1579095,3539147,11403345,1900596,12189761,7405604,14352405,12058980
1476252139,1573798,1179689,4063274,6422575,589847,0,0,8126580
1476252140,1572865,2359296,1638400,10944512,1507328,655360,458752,13041664
1476252141,1578072,14942451,16713117,12255954,12125097,5244105,2097869,7542342
1476252142,1574360,65582,15007751,13566013,5701655,2949131,12451840,16318569
1476252143,1572864,65536,0,196608,0,0,0,131072
1476252145,1573133,8126490,11665416,14483494,16187407,8454147,2752513,13500528
1476252146,1572864,0,0,0,65536,65536,0,0
1476252147,1572864,0,0,0,0,0,0,0
1476252148,1572864,0,131072,458752,131072,65536,65536,1703936
1476252149,1572887,14876672,8257536,1114112,3342336,7208960,7208960,4784130
1476252150,1572922,0,0,0,0,0,0,7405578
1476252151,1573349,8519707,720935,6815773,2818055,5701655,7602185,12910715
1476252152,1572873,15204365,3080246,13303822,7929893,14090291,2031641,7667722
1476252153,1572935,7667712,0,4128785,0,0,0,14811236
1476252154,1573194,1179652,5111866,3801096,458768,9043987,1835026,9895970
1476252155,1573029,15466503,13500467,15466524,2228265,2490413,14614546,3735680
1476252156,1573843,1441885,0,11731017,8978432,0,0,3408218
1476252157,1574700,14155842,262226,13631599,7143722,6946846,8126477,5440412
