timestamp,delta,theta,loAlpha,hiAlpha,loBeta,hiBeta,loGamma,midGamma
1476252066,1572930,9240580,5111808,10551297,5570563,1,8192000,5242880
1476252067,1573558,16187573,11206698,7143487,5505044,5505042,7864333,15466504
1476252068,1573295,15991209,10158198,11665488,8192074,4456488,655375,9568260
1476252069,1579045,2884112,8912907,11141120,0,0,0,0
1476252070,1575842,2294887,1376346,2752600,2097301,13369474,9306152,7208982
1476252071,1575940,7078086,16646211,7274580,15204423,13697070,11075590,3604483
1476252072,1582423,10944645,9895948,10354729,14680064,0,0,0
1476252073,1579105,10224064,3080429,3473590,7143775,11927619,6619157,15663132
1476252074,1580577,9896109,983138,11468815,2818123,3735592,2424887,15138838
1476252075,1578488,5374976,12583539,4980846,11731134,16449618,0,0
1476252076,1578498,12779576,6619148,1048608,11403279,5963791,7143457,11993099
1476252077,1573907,1507397,13500422,5505051,8454209,12779542,7929887,5177356
1476252078,1576833,14680299,14483500,16384023,11272203,10682391,14614535,14680064
1476252079,1575101,13566262,7143442,14090314,8060973,15532062,11010060,11993099
1476252081,1578864,11667072,2883997,1638644,3145987,327964,13566046,10485854
1476252082,1579432,7539767,13566469,10420370,8782196,1900782,12714070,11599937
1476252083,1577728,0,0,0,0,0,0,0
1476252084,1576083,3670091,14221326,9371667,983054,5242883,14745601,6684673
1476252085,1576024,10030544,16581049,5505182,7143842,4980935,4587593,11403320
1476252086,1575151,15335639,0,0,0,0,0,0
1476252087,1576233,5242986,16056322,8912914,10027060,12124178,15663122,65540
1476252088,1575858,15728748,9437246,11337799,10747990,14352414,6488074,2031620
1476252089,1573029,4915275,10027012,2621440,0,0,0,0
1476252090,1574499,13107668,8650833,3080215,4456509,15663142,12124181,10289162
1476252091,1576699,9110902,13828215,2359409,13893759,14155962,16580770,8126525
1476252092,1579529,10618079,1704252,3735883,10027264,0,0,0
1476252093,1577998,7995621,9437455,10223729,15794244,7077989,7667843,11272226
1476252094,1576615,11010451,4718669,8257693,65622,8519808,6357034,14024740
1476252095,1575040,14090358,13959274,7536682,5570624,15990874,0,0
1476252096,1577084,13828589,11599933,9895974,10289194,12714010,13828109,16252932
1476252097,1578215,15270075,16252964,8060984,3211313,2031655,12451848,8716299
1476252098,1573447,4718689,6750216,8257577,1966091,11730950,16384008,2621440
1476252099,1575768,2097600,11010159,9830493,10616876,65555,4325381,1245188
1476252101,1574425,7733718,5832818,5963855,16580642,10420260,4849670,3276805
1476252102,1574410,1179865,12779574,15532108,15990877,8978476,12386312,5767175
1476252103,1574912,0,0,0,0,0,0,0
1476252104,1579937,1114273,7274501,15007761,14614551,12517380,12124162,3276801
1476252105,1575510,2163056,12058628,11534339,16515088,393235,13762564,983041
1476252106,1576406,1441909,0,0,0,0,0,0
1476252107,1576696,9764994,9699346,1441866,8257586,4849700,4390922,2359301
1476252108,1575742,10092600,11075613,12517414,5898268,8388620,13041666,2686976
1476252109,1573064,3145810,5505040,13500416,0,0,0,0
1476252110,1573128,8650909,15073295,4325466,12714024,14811173,10354697,11337739
1476252111,1573433,12582966,13107236,10354741,1441835,16121884,12451855,13631493
1476252112,1573593,14745733,4718616,1703948,15859712,0,0,0
1476252113,1573309,1573065,7536670,3014685,7405624,7798806,14942219,8126471
1476252114,1573235,16711935,1638407,16056329,3145750,8585234,12713998,12910610
1476252115,1584674,9175227,9306124,3080307,5046448,2883668,0,0
1476252116,1577120,9371744,14024908,12976138,10485771,3407917,15007764,14680069
1476252117,1573839,262440,3276900,6750270,8716305,10682403,4980749,7340034
1476252118,1577319,15007815,5636133,11468828,9764920,11272208,786443,1900544
1476252119,1576513,7340335,4325401,5439521,11731022,13041702,8060950,983047
1476252121,1577904,1704001,10027056,6881298,10158094,8126476,2752516,12713986
1476252122,1575392,12386350,655388,5570573,1835011,16580609,15990786,1310720
1476252123,1574144,0,0,0,0,0,0,0
1476252124,1575783,3211283,14876687,5242883,9830418,10485767,1310723,16515073
1476252125,1574648,2359693,11731070,7733387,2556027,9044052,12189747,3014671
1476252126,1573755,5440364,0,0,0,0,0,0
1476252127,1580342,5636568,8650925,2490517,16711811,11927637,4390969,5963816
1476252128,1581710,4851302,2883693,9830722,4522522,12976271,5111926,3801124
1476252129,1574694,13304587,14876747,5963776,0,0,0,0
1476252130,1577970,10092819,4128890,15728681,11468900,12189750,2818073,3932177
1476252131,1580140,14876903,5505198,7602336,11862190,9765036,1114189,7733299
1476252132,1576649,852117,11731010,15532092,13238272,0,0,0
1476252133,1574770,10879115,5767221,10354791,13238295,10551306,3866641,1441795
1476252134,1573373,9175172,15925250,1703940,5963781,196616,7471106,14483457
1476252135,1573054,5636194,14417931,14090288,3080239,9502739,0,0
1476252136,1577259,15798693,2294085,2294346,1835265,9568654,15204555,9044101
1476252137,1575951,13303961,5570571,12451887,9764875,3932166,3932164,4784131
1476252138,1574204,14352433,5177355,4784134,15532038,7667717,8585218,2097152
1476252139,1575377,1770078,8323122,5832732,15859787,9043987,2293782,14155784
1476252141,1573510,3080339,14549013,8257587,16515079,13762569,13369355,12189701
1476252142,1575042,8847669,12779660,9961557,10158151,13893767,6684717,15007802
1476252143,1574656,0,0,0,0,0,0,0
1476252144,1576385,13370135,4980804,6488116,3735584,11206682,6684686,13238286
1476252145,1574852,3408489,3211308,6291537,6357045,1048599,65548,2162699
1476252146,1574039,9765447,0,0,0,0,0,0
1476252147,1574475,8257669,16580930,3145773,1114339,852015,9699348,7143452
1476252148,1573777,2621667,2031625,15990893,6029366,13238314,12189732,3014661
1476252149,1573058,720932,16056336,10158080,0,0,0,0
1476252150,1573786,6488946,3277131,14024908,10223750,5046363,3670044,2228246
1476252151,1573867,6422894,1180039,9568394,9961595,9044044,3342367,7143441
1476252152,1572923,1966158,1507339,15728645,10223616,0,0,0
1476252153,1575609,1638588,6553772,1179698,3407932,7274587,3539015,13369359
1476252154,1577680,9437470,7667770,8323223,6553726,2359402,7929880,2818080
1476252155,1573754,13238336,3276823,16711716,8978488,7274503,0,0
1476252156,1573065,5898941,5439604,2883807,1114211,196735,8257555,10158091
1476252157,1573363,2424918,6553618,6488114,3080218,11599896,9633795,7995394
1476252158,1575765,2359578,5439558,7340056,15728688,6619160,11206660,15269888
1476252159,1573861,9634309,16646186,3801140,12517527,3604498,11599931,7536664
1476252161,1573851,13959295,14483492,1507388,9830423,6946854,851979,4259848
1476252162,1573713,4587586,8912901,11599877,6488069,2490372,13107203,2621441
1476252163,1572864,0,0,0,0,0,0,0
1476252164,1577401,15270175,3801264,5701669,3407886,15794229,15859733,9895952
1476252165,1575719,12780481,5964194,9634090,579,3473626,13041740,8585253
1476252166,1576695,4784273,0,0,0,0,0,0
1476252167,1574477,16714542,7734140,7668156,196930,16187992,8978750,11862236
1476252168,1578656,1573629,6816382,14157207,4458118,2687546,2949319,6553702
1476252169,1576817,393432,1441876,15925248,0,0,0,0
1476252170,1575965,16122874,14155818,10945008,7864619,262516,5832905,14155816
1476252171,1575745,6095133,11075627,5898260,1245293,13893671,14811144,12451844
1476252172,1576820,11273054,9437575,1638575,1507584,0,0,0
1476252173,1582165,3868108,11534394,11534628,14025015,6619562,11730991,6815757
1476252174,1580813,12452087,8061231,1900940,10158619,7012702,12058771,6946990
1476252175,1574669,4917025,9437258,9371777,4915291,13303914,0,0
1476252176,1581781,6947253,16384195,3735657,2031763,8192147,9502758,7929869
1476252177,1575638,11928215,9764953,11010182,4391004,2162777,2621470,5373975
1476252178,1578759,2164196,12518730,197159,655745,6226274,12779719,14155776
1476252179,1573888,12976169,6815751,15990798,10092558,1376270,12648453,13369346
1476252181,1575784,5505297,7405686,6619302,5636200,7929895,4128784,7798824
1476252182,1575246,11863217,9240613,14614726,2032440,852220,8060960,6750298
1476252183,1577216,0,0,0,0,0,0,0
1476252184,1573572,6881318,9306149,15400981,14221343,65575,65547,917507
1476252185,1575588,15269947,3604485,131100,5832710,9175045,16646150,4784131
1476252186,1576263,8192229,0,0,0,0,0,0
1476252187,1576244,196911,2228434,5832790,4194488,8323312,14352419,12845119
1476252188,1577018,16450275,7209192,13238459,131792,2687415,5832845,1441898
1476252189,1576715,11272764,16384058,15073280,0,0,0,0
1476252190,1578953,15204714,10354752,13303909,10617182,3997900,2031674,10682400
1476252191,1573995,917603,655447,9895985,65601,983065,14745635,13631497
